No,Area,Release Week,Release Summary,Release Date,By Whom,Detail
1,B2B,2025/1/6,[GSS-PJ][TA] Zenryo coupon 全旅クーポン本格運用(API)対応-First Release,2025/1/9,Kazuma,https://app.clickup.com/t/31108037/B2BPT-152
2,SEO,2025/1/6,サイトマップに転送元URLが含まれいているのを除外する①（資料No.85）,2025/1/9,Kotarom (Chiaki),https://docs.google.com/spreadsheets/d/1KyqjSfqVQ79PSqcLw_wH07eHa2mZm6Fn8UmfkJb7HXA/edit?gid=1306670291#gid=1306670291
3,SEO,2025/1/6,サイトマップに転送元URLが含まれいているのを除外する②（資料No.86）,2025/1/9,Kotarom (Chiaki),https://docs.google.com/spreadsheets/d/1KyqjSfqVQ79PSqcLw_wH07eHa2mZm6Fn8UmfkJb7HXA/edit?gid=1306670291#gid=1306670291
4,SEO,2025/1/6,サイトマップに転送元URLが含まれいているのを除外する③（資料No.92）,2025/1/9,Kotarom (Chiaki),https://docs.google.com/spreadsheets/d/1KyqjSfqVQ79PSqcLw_wH07eHa2mZm6Fn8UmfkJb7HXA/edit?gid=1306670291#gid=1306670291
5,CS,2025/1/6,予約導線にreCAPTCHA追加,2025/1/8,Mao,"https://app.clickup.com/t/31108037/CS24-3416
https://app.clickup.com/t/31108037/PF-2323"
6,Ticket,2025/1/6,[Ticket] 施設詳細ページの表示パフォーマンス向上,2025/1/6,Miyu,https://app.clickup.com/t/31108037/TIC-1200
7,Ticket,2025/1/6,[Ticket] 不正検知システムSift Science導入,2025/1/8,Miyu,"https://docs.google.com/presentation/d/1V_JDxCK4nM8Hq9JeUcKZiTZHJ9pBajVcMQwaXLaVmBg/edit#slide=id.p
https://app.clickup.com/31108037/v/l/6-901803949519-1"
8,Ticket,2025/1/6,[Ticket] safariでticketの「予約詳細」画面を開いた後にブラウザバック時、確認画面が表示されず遷移できない,2025/1/8,Miyu,https://app.clickup.com/t/31108037/TIC-1211
9,LTV,2025/1/6,Silveregg 購入金額通貨変更（JPYへ統一）,2025/1/8,Michi,https://app.clickup.com/t/31108037/CS24-3418
10,SEO,2025/1/6,/special_deal/以下すべてをクロール対象外にする（資料No.82）,2025/1/9,Kotarom (Chiaki),https://docs.google.com/spreadsheets/d/1KyqjSfqVQ79PSqcLw_wH07eHa2mZm6Fn8UmfkJb7HXA/edit?gid=1306670291#gid=1306670291
11,SEO,2025/1/13,/download/以下をクロール対象外にする（資料No.100）,2025/1/14,Kotarom (Chiaki),https://docs.google.com/spreadsheets/d/1KyqjSfqVQ79PSqcLw_wH07eHa2mZm6Fn8UmfkJb7HXA/edit?gid=1306670291#gid=1306670291
12,SEO,2025/1/13,/a/〜/images URLへの内部リンクにnofollowをつける（資料No.95）,2025/1/14,Kotarom (Chiaki),https://docs.google.com/spreadsheets/d/1KyqjSfqVQ79PSqcLw_wH07eHa2mZm6Fn8UmfkJb7HXA/edit?gid=1306670291#gid=1306670291
13,SEO,2025/1/13,/member_reviews/ をクロール対象外にする（資料No.96）,2025/1/14,Kotarom (Chiaki),https://docs.google.com/spreadsheets/d/1KyqjSfqVQ79PSqcLw_wH07eHa2mZm6Fn8UmfkJb7HXA/edit?gid=1306670291#gid=1306670291
